,sequence,labels,scores
0,aguarde só um minuto,resolvendo o problema do cliente,0.3672449588775635
1,aguarde só um minuto,sendo negativo,0.3517701029777527
2,aguarde só um minuto,pedindo para aguardar,0.28098493814468384
0,"mais alguma dúvida, flávio",sendo negativo,0.7008808255195618
1,"mais alguma dúvida, flávio",pedindo para aguardar,0.22164428234100342
2,"mais alguma dúvida, flávio",resolvendo o problema do cliente,0.07747487723827362
0,já disse que isso não é possível,sendo negativo,0.9301698803901672
1,já disse que isso não é possível,resolvendo o problema do cliente,0.03775670379400253
2,já disse que isso não é possível,pedindo para aguardar,0.032073356211185455
0,"thaynar, para podermos seguir com o procedimento, peço, por favor, que me envie uma foto selfie segurando uma folha. nessa folha, você precisa escrever o código m6145534.",pedindo para aguardar,0.8651575446128845
1,"thaynar, para podermos seguir com o procedimento, peço, por favor, que me envie uma foto selfie segurando uma folha. nessa folha, você precisa escrever o código m6145534.",resolvendo o problema do cliente,0.10192026942968369
2,"thaynar, para podermos seguir com o procedimento, peço, por favor, que me envie uma foto selfie segurando uma folha. nessa folha, você precisa escrever o código m6145534.",sendo negativo,0.032922111451625824
0,já foi explicado que não.,sendo negativo,0.5068106651306152
1,já foi explicado que não.,resolvendo o problema do cliente,0.40222567319869995
2,já foi explicado que não.,pedindo para aguardar,0.09096372872591019
0,"não existe mandar senha, maria. senha é algo que somente você possui. não temos acesso.",sendo negativo,0.712151050567627
1,"não existe mandar senha, maria. senha é algo que somente você possui. não temos acesso.",resolvendo o problema do cliente,0.16518020629882812
2,"não existe mandar senha, maria. senha é algo que somente você possui. não temos acesso.",pedindo para aguardar,0.12266872078180313
0,"ei,  me chamo anna e vou prosseguir com o atendimento 😊",resolvendo o problema do cliente,0.6142181158065796
1,"ei,  me chamo anna e vou prosseguir com o atendimento 😊",pedindo para aguardar,0.32547008991241455
2,"ei,  me chamo anna e vou prosseguir com o atendimento 😊",sendo negativo,0.06031182035803795
0,"eu vou te passar para um colega especialista que ira te auxiliar melhor nesse caso, ! só peço que aguarde um momento, por favor! 😊",pedindo para aguardar,0.8513601422309875
1,"eu vou te passar para um colega especialista que ira te auxiliar melhor nesse caso, ! só peço que aguarde um momento, por favor! 😊",resolvendo o problema do cliente,0.08862145245075226
2,"eu vou te passar para um colega especialista que ira te auxiliar melhor nesse caso, ! só peço que aguarde um momento, por favor! 😊",sendo negativo,0.060018397867679596
0,"entretanto, para conseguirmos prosseguir com a abertura de análise, será necessário realizar o bloqueio definitivo do cartão e solicitar a segunda via, ao final do atendimento, ",pedindo para aguardar,0.5353027582168579
1,"entretanto, para conseguirmos prosseguir com a abertura de análise, será necessário realizar o bloqueio definitivo do cartão e solicitar a segunda via, ao final do atendimento, ",resolvendo o problema do cliente,0.30467987060546875
2,"entretanto, para conseguirmos prosseguir com a abertura de análise, será necessário realizar o bloqueio definitivo do cartão e solicitar a segunda via, ao final do atendimento, ",sendo negativo,0.16001740097999573
0,"olá, vinícius,  meu nome é maysa e te atenderei a partir de agora.🏃‍♀️",pedindo para aguardar,0.6602100729942322
1,"olá, vinícius,  meu nome é maysa e te atenderei a partir de agora.🏃‍♀️",resolvendo o problema do cliente,0.22593197226524353
2,"olá, vinícius,  meu nome é maysa e te atenderei a partir de agora.🏃‍♀️",sendo negativo,0.11385797709226608
0,"agora, preciso, por gentileza, que você me confirme algumas informações, ​",pedindo para aguardar,0.8713880181312561
1,"agora, preciso, por gentileza, que você me confirme algumas informações, ​",resolvendo o problema do cliente,0.08506982773542404
2,"agora, preciso, por gentileza, que você me confirme algumas informações, ​",sendo negativo,0.04354218766093254
0,"peço que permaneça na tela do chat durante o atendimento para ser mais dinâmico, por favor!!",pedindo para aguardar,0.6517571210861206
1,"peço que permaneça na tela do chat durante o atendimento para ser mais dinâmico, por favor!!",resolvendo o problema do cliente,0.3076394498348236
2,"peço que permaneça na tela do chat durante o atendimento para ser mais dinâmico, por favor!!",sendo negativo,0.040603384375572205
0,"aguarde um momento, por favor! é importante que mantenha- se na tela do chat, enquanto realizo algumas verificações.",pedindo para aguardar,0.9029359221458435
1,"aguarde um momento, por favor! é importante que mantenha- se na tela do chat, enquanto realizo algumas verificações.",resolvendo o problema do cliente,0.05712481588125229
2,"aguarde um momento, por favor! é importante que mantenha- se na tela do chat, enquanto realizo algumas verificações.",sendo negativo,0.03993922472000122
0,"me chamo natalice e irei te ajudar hoje. peço por gentileza, que permaneça aqui na conversa",pedindo para aguardar,0.6299550533294678
1,"me chamo natalice e irei te ajudar hoje. peço por gentileza, que permaneça aqui na conversa",resolvendo o problema do cliente,0.20783743262290955
2,"me chamo natalice e irei te ajudar hoje. peço por gentileza, que permaneça aqui na conversa",sendo negativo,0.1622074842453003
0,"olá, maria!  sou thiago, estou verificando sua dúvida, peço a gentileza de permanecer na tela do nosso chat. muito obrigado por aguardar, prometo que não demorarei!",pedindo para aguardar,0.6799353957176208
1,"olá, maria!  sou thiago, estou verificando sua dúvida, peço a gentileza de permanecer na tela do nosso chat. muito obrigado por aguardar, prometo que não demorarei!",sendo negativo,0.22366194427013397
2,"olá, maria!  sou thiago, estou verificando sua dúvida, peço a gentileza de permanecer na tela do nosso chat. muito obrigado por aguardar, prometo que não demorarei!",resolvendo o problema do cliente,0.09640263020992279
0,"você pode me contar melhor qual a sua dúvida, por gentileza",resolvendo o problema do cliente,0.4634782075881958
1,"você pode me contar melhor qual a sua dúvida, por gentileza",pedindo para aguardar,0.3855958580970764
2,"você pode me contar melhor qual a sua dúvida, por gentileza",sendo negativo,0.1509259045124054
0,detalhe a sua dúvida. ,pedindo para aguardar,0.6432420611381531
1,detalhe a sua dúvida. ,sendo negativo,0.19273796677589417
2,detalhe a sua dúvida. ,resolvendo o problema do cliente,0.16401992738246918
