,sequence,labels,scores
0,"boa tarde, dalasdro.

meu nome é milton e vou te ajudar nesse caso. 😊

peço desculpas pela demora, essa não é a experiência que queremos para nossos clientes. 

nesse caso, oriento que entre em contato através do chat do aplicativo.

para acessar o chat, por gentileza, abra seu aplicativo will bank, role a tela para baixo, clique no botão ""atendimento"" na tela principal do seu aplicativo. depois basta clicar em ""falar no chat"" e selecionar um atendimento que está acontecendo ou clicar no botão do lápis amarelo para iniciar um novo atendimento!"".

no final desse atendimento, você receberá um e-mail para me avaliar. se você puder responder, por gentileza, ficarei muito feliz.

dalasdro, qualquer dúvida, estou à disposição.

agradeço por entrar em contato conosco, um abraço.

milton f.",aguardar,0.49078628420829773
12,"por isso, o valor das parcelas da compra cancelada continuarão sendo lançadas nas próximas faturas normalmente até que finalizem. entretanto, você já recebeu o estorno a vista.",seguir,0.4515574276447296
16,"primeiramente, peço desculpa pelo tempo de resposta, sei que demorou mais que o esperado, essa não é a experiência que desejamos a você. agora, estou aqui para te auxiliar, muitíssimo obrigado por aguardar. 🙏",aguardar,0.6817973852157593
24,sua mão precisa aparecer na foto.,seguir,0.4991436004638672
28,"11/11/2023 às 14:58:15*8151standard will-recvivoà vista
r$ 25,00",seguir,0.4369346499443054
36,"qual o valor da compra, horário e estabelecimento, aurizete",questionamento,0.8139176368713379
40,"na tela inicial, por favor, acesse ""gerenciar cartões"" > ""desbloquear meu cartão"" > informe o seu cvc > informe a sua senha.",seguir,0.5665534734725952
48,lembrando que finais de semana e feriados não são considerados dias úteis.,questionamento,0.45471838116645813
52,"a partir do momento que você visualizar essa mensagem, preciso que me envie a foto selfie em até 1h. caso passe deste período, será necessário realizar o procedimento novamente, com um código novo.",aguardar,0.45498204231262207
56,"alice, o aumento de limite é solicitado apenas no app.",aguardar,0.43197864294052124
60,"deve ficar evidente que você está segurando o papel, então por isso a sua mão precisa ficar bem visível.",seguir,0.7056285738945007
64,"para atualizar no aplicativo, é só sair e entrar novamente com o cpf e senha de acesso. ✔",seguir,0.6157081127166748
68,"olá, danilo, boa tarde,  ﻿meu nome é gustavo, estou aqui para te ajudar e fazer com que a sua experiência seja incrível, te auxiliando da melhor maneira possível! 💛💛

peço, por gentileza, que me envie o comprovante de pagamento, 

ficarei no aguardo!


atenciosamente,
gustavo a.",aguardar,0.6956123113632202
76,"primeiro, gostaria de te pedir desculpas pelo tempo de espera, mas já estamos aqui para te auxiliar. :)",aguardar,0.7419140934944153
80,"peço, por gentileza, que se não encontrar o retorno na “caixa de entrada”, verifique na pasta de “spam” e também o “lixo eletrônico”, para confirmar o recebimento.",questionamento,0.6148807406425476
