sequence,labels,scores
Aguarde só um minuto,aguardar,"58,9%"
Aguarde só um minuto,confirmação,"17,3%"
Aguarde só um minuto,encaminhar,"10,1%"
Aguarde só um minuto,questionamento,"7,6%"
Aguarde só um minuto,solicitação,"3,8%"
Aguarde só um minuto,negativa,"2,2%"
"Mais alguma dúvida, Flávio?",questionamento,"69,0%"
"Mais alguma dúvida, Flávio?",negativa,"14,1%"
"Mais alguma dúvida, Flávio?",aguardar,"9,2%"
"Mais alguma dúvida, Flávio?",encaminhar,"4,0%"
"Mais alguma dúvida, Flávio?",solicitação,"2,9%"
"Mais alguma dúvida, Flávio?",confirmação,"0,7%"
"Thaynar, para podermos seguir com o procedimento, peço, por favor, que me envie uma foto selfie segurando uma folha. Nessa folha, você precisa escrever o código M6145534.",solicitação,"50,7%"
"Thaynar, para podermos seguir com o procedimento, peço, por favor, que me envie uma foto selfie segurando uma folha. Nessa folha, você precisa escrever o código M6145534.",confirmação,"18,0%"
"Thaynar, para podermos seguir com o procedimento, peço, por favor, que me envie uma foto selfie segurando uma folha. Nessa folha, você precisa escrever o código M6145534.",aguardar,"16,9%"
"Thaynar, para podermos seguir com o procedimento, peço, por favor, que me envie uma foto selfie segurando uma folha. Nessa folha, você precisa escrever o código M6145534.",questionamento,"7,8%"
"Thaynar, para podermos seguir com o procedimento, peço, por favor, que me envie uma foto selfie segurando uma folha. Nessa folha, você precisa escrever o código M6145534.",encaminhar,"5,9%"
"Thaynar, para podermos seguir com o procedimento, peço, por favor, que me envie uma foto selfie segurando uma folha. Nessa folha, você precisa escrever o código M6145534.",negativa,"0,8%"
Já foi explicado que não.,confirmação,"51,0%"
Já foi explicado que não.,negativa,"28,0%"
Já foi explicado que não.,aguardar,"10,3%"
Já foi explicado que não.,questionamento,"5,5%"
Já foi explicado que não.,solicitação,"2,8%"
Já foi explicado que não.,encaminhar,"2,4%"
"Ei, tudo bem? Me chamo Anna e vou prosseguir com o atendimento 😊",confirmação,"46,6%"
"Ei, tudo bem? Me chamo Anna e vou prosseguir com o atendimento 😊",questionamento,"26,0%"
"Ei, tudo bem? Me chamo Anna e vou prosseguir com o atendimento 😊",aguardar,"13,1%"
"Ei, tudo bem? Me chamo Anna e vou prosseguir com o atendimento 😊",solicitação,"7,4%"
"Ei, tudo bem? Me chamo Anna e vou prosseguir com o atendimento 😊",encaminhar,"6,5%"
"Ei, tudo bem? Me chamo Anna e vou prosseguir com o atendimento 😊",negativa,"0,4%"
"Eu vou te passar para um colega especialista que ira te auxiliar melhor nesse caso, ok?! Só peço que aguarde um momento, por favor! 😊",aguardar,"57,5%"
"Eu vou te passar para um colega especialista que ira te auxiliar melhor nesse caso, ok?! Só peço que aguarde um momento, por favor! 😊",solicitação,"18,7%"
